number,start_col,start_row,end_col,end_row,clue,"length (optional column, for checking only)"
1,2,0,2,0,Something from pumping,1
4,1,1,1,1,"Journey's ""___ Stop Believin'""",1
5,0,2,0,2,"With 7-Across, it often falls to pieces",1
6,0,3,0,3,Bacterium that can prompt a food recall,1
7,0,4,0,4,See 5-Across,1
1,2,0,2,0,"""Leave this instant!""",1
2,3,0,3,0,Perspective,1
3,4,0,4,0,One of 354 to reach the crown inside the Statue of Liberty,1
4,1,1,1,1,Art ___ (architectural style),1
5,0,2,0,2,Boeing 757 or Airbus A350,1
